Sample,Dissection,Preservation,Dissection_Preservation
Mmus_C57-6J_SLS_I_GF_FirstSet_Rep1_M2,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_FirstSet_Rep2_M3,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_FirstSet_Rep3_M4,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_FirstSet_Rep4_M13,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_SecondSet_Rep1_M7,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_SecondSet_Rep2_M11,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_SecondSet_Rep3_M15,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_SecondSet_Rep4_M18,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_ThirdSet_Rep1_M12,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_ThirdSet_Rep2_M20,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_ThirdSet_Rep3_M23,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_GF_ThirdSet_Rep4_M25,Immediate,GloveboxFreezer,ImmediateGloveboxFreezer
Mmus_C57-6J_SLS_I_LN2_CTRLSet_Rep1_M8,Immediate,LiquidNitrogen,ImmediateLiquidNitrogen
Mmus_C57-6J_SLS_I_LN2_CTRLSet_Rep2_M9,Immediate,LiquidNitrogen,ImmediateLiquidNitrogen
Mmus_C57-6J_SLS_I_LN2_CTRLSet_Rep3_M10,Immediate,LiquidNitrogen,ImmediateLiquidNitrogen
Mmus_C57-6J_SLS_I_LN2_CTRLSet_Rep4_M14,Immediate,LiquidNitrogen,ImmediateLiquidNitrogen
Mmus_C57-6J_SLS_I_LN2_CTRLSet_Rep5_M19,Immediate,LiquidNitrogen,ImmediateLiquidNitrogen
Mmus_C57-6J_SLS_WCar_CryoC_FirstSet_Rep1_M47,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_FirstSet_Rep2_M52,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_FirstSet_Rep3_M63,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_FirstSet_Rep4_M83,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_SecondSet_Rep1_M30,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_SecondSet_Rep2_M49,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_SecondSet_Rep3_M56,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_SecondSet_Rep4_M62,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_ThirdSet_Rep1_M31,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_ThirdSet_Rep2_M41,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_ThirdSet_Rep3_M46,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_ThirdSet_Rep4_M60,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_FourthSet_Rep1_M26,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_FourthSet_Rep2_M53,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_FourthSet_Rep3_M68,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_CryoC_FourthSet_Rep4_M73,WholeCarcass,Cryochiller,WholeCarcassCryochiller
Mmus_C57-6J_SLS_WCar_DI_CTRLSet_Rep1_M34,WholeCarcass,DryIce,WholeCarcassDryIce
Mmus_C57-6J_SLS_WCar_DI_CTRLSet_Rep2_M43,WholeCarcass,DryIce,WholeCarcassDryIce
Mmus_C57-6J_SLS_WCar_DI_CTRLSet_Rep3_M54,WholeCarcass,DryIce,WholeCarcassDryIce
Mmus_C57-6J_SLS_WCar_DI_CTRLSet_Rep4_M77,WholeCarcass,DryIce,WholeCarcassDryIce
Mmus_C57-6J_SLS_WCar_LN2_CTRLSet_Rep1_M28,WholeCarcass,LiquidNitrogen,WholeCarcassLiquidNitrogen
Mmus_C57-6J_SLS_WCar_LN2_CTRLSet_Rep2_M51,WholeCarcass,LiquidNitrogen,WholeCarcassLiquidNitrogen
Mmus_C57-6J_SLS_WCar_LN2_CTRLSet_Rep3_M64,WholeCarcass,LiquidNitrogen,WholeCarcassLiquidNitrogen
Mmus_C57-6J_SLS_WCar_LN2_CTRLSet_Rep4_M80,WholeCarcass,LiquidNitrogen,WholeCarcassLiquidNitrogen